Fuel Consumption City
8.64 dataper100km
27.27 dataper100km
0.17 dataper10km
6.52 datakmperl
20.15 dataper100km
5.57 datampgas
7.52 dataper100km
28.55 datampgas
9.16 datampgimp
43.84 datakmperl
27.73 dataper100km
19.01 dataper100km
0.22 dataper10km
9.06 dataper100km
23.39 dataper100km
25.96 dataper100km
35.25 datampgimp
5.02 dataper100km
6.46 datakmperl
15.13 dataper100km
7.09 dataper100km
9.21 datakmperl
8.61 datakmperl
31.25 dataper100km
0.44 dataper100km
4.49 dataper100km
0.53 dataper10km
9.96 datampgimp
32.72 datampgas
17.78 dataper100km
1.64 dataper10km
0.08 dataper10km
21.15 dataper100km
nan
14.08 datampgimp
22.58 datampgimp
1.54 dataper100km
18.27 datakmperl
5.00 datampgimp
52.26 datampgas
13.70 dataper100km
12.27 datampgimp
14.09 dataper100km
25.52 dataper100km
10.56 datampgimp
1.81 dataper10km
7.37 dataper100km
14.98 datampgimp
7.66 dataper100km
6.31 dataper100km
4.03 datampgas
1.17 dataper10km
18.33 dataper100km
10.76 datampgimp
26.29 dataper100km
7.67 datakmperl
0.55 dataper100km
1.09 dataper10km
4.22 dataper10km
0.46 dataper10km
0.08 dataper10km
14.08 datakmperl
32.38 dataper100km
10.24 datampgas
4.10 dataper100km
0
11.92 dataper100km
6.06 datakmperl
16.06 dataper100km
11.17 datakmperl
19.04 dataper100km
1.41 dataper10km
160.50 datampgas
2.58 dataper10km
7.82 datakmperl
16.74 datampgas
7.12 datakmperl
0.39 dataper10km
200.24 datampgas
12.70 dataper100km
3.65 datakmperl
25.71 datakmperl
13.42 datakmperl
43.01 datampgas
26.04 datampgas
17.97 datampgimp
14.03 datampgimp
1.78 dataper10km
0.74 dataper10km
14.55 datampgimp
1.84 dataper10km
1.33 dataper10km
4.93 datakmperl
nan
2.76 dataper100km
9.65 datampgas
1.83 dataper100km
33.36 datampgas
9.26 datampgimp
4.32 datakmperl
28.93 dataper100km
2.92 dataper100km
3.68 datakmperl
9.08 datampgimp
14.76 dataper100km
nan
31.77 datakmperl
10.49 dataper100km
7.60 datakmperl
0.67 dataper10km
19.25 datampgimp
3.09 datakmperl
nan
0
14.74 datampgas
7.82 datakmperl
8.25 datampgas
22.05 datampgas
2.16 dataper10km
134.37 datampgimp
16.70 datakmperl
126.58 datampgimp
22.43 dataper100km
28.98 datakmperl
19.23 dataper100km
20.98 dataper100km
18.77 dataper100km
8.26 dataper100km
22.14 dataper100km
0.69 dataper100km
1.70 dataper100km
0.25 dataper100km
0.67 dataper10km
25.41 datakmperl
10.42 dataper100km
3.58 datakmperl
10.57 datampgimp
20.73 dataper100km
13.80 datampgimp
nan
1.65 dataper100km
9.56 datampgas
13.68 datakmperl
9.07 datakmperl
27.98 dataper100km
4.91 dataper100km
23.54 dataper100km
