Id,CO2 Emissions(g/km)
54938,341.8217774662399
54939,199.66898913367945
54940,211.5160474348268
54941,224.06464437201674
54942,230.36766309320592
54943,224.48903827744397
54944,354.8980633966113
54945,179.07849079738173
54946,301.93835583295896
54947,188.7985764365851
54948,222.00540844986705
54949,322.1036039051355
54950,177.03104481221897
54951,218.90595321308024
54952,197.09054529321276
54953,389.9386570379718
54954,398.6809458140747
54955,259.2015662880319
54956,240.34207140406153
54957,265.67762026116765
54958,193.12230418227182
54959,219.17512387612635
54960,228.01863843755612
54961,248.86238121720265
54962,199.253614323325
54963,214.2173640641298
54964,175.8150872060412
54965,214.30498701667457
54966,223.03156803759376
54967,206.96477486276956
54968,239.09547872134402
54969,334.6348988713778
54970,279.4606794384746
54971,247.04712177143074
54972,405.04033169269906
54973,241.79023943175224
54974,222.27837592758317
54975,351.76931234694416
54976,233.5965580309187
54977,240.4945176180149
54978,195.45380180528457
54979,341.94439811091775
54980,255.24860517579094
54981,402.6076042172307
54982,203.36541983238845
54983,229.59540867922414
54984,180.2896651790848
54985,165.6772833379871
54986,189.62866021109758
54987,223.8349305233122
54988,164.73085088525022
54989,275.0081463284861
54990,330.30427396985783
54991,175.39971954117001
54992,237.3865105529378
54993,372.71896484600666
54994,199.89103345150903
54995,205.76304984748356
54996,170.32961730246836
54997,298.7868795713288
54998,342.22051327067106
54999,171.9621485394822
55000,341.0648576255954
55001,169.2899748977477
55002,224.42906405393074
55003,360.08383661502086
55004,292.76506504252495
55005,170.82588615956985
55006,267.3482370570907
55007,300.1921621578373
55008,191.9655263956917
55009,168.25888425887507
55010,225.3651128612898
55011,311.12053545788007
55012,206.944417211998
55013,303.8641789867779
55014,336.84101097682174
55015,270.041165440838
55016,384.9475573069394
55017,253.08046087020443
55018,214.42291932804488
55019,206.5717621025105
55020,284.32644814397963
55021,224.86588287872627
55022,262.12622243683046
55023,191.49708677080963
55024,266.13237158694756
55025,376.1510555761415
55026,212.09495838198814
55027,169.46867877119777
55028,250.25298104131033
55029,141.21141551318166
55030,223.86492658189746
55031,357.15364942688745
55032,196.6612195482396
55033,179.7934917768431
55034,200.21518060835098
55035,301.22411615437085
55036,241.36086806531847
55037,297.1791850454292
55038,343.2730358069995
55039,275.72751852659883
55040,215.94663697849876
55041,205.33478748331453
55042,338.7778666734233
55043,249.60120783990067
55044,268.6611229377628
55045,219.62840086428105
55046,213.1817351940907
55047,183.42867256328338
55048,228.22816848646607
55049,307.04388575395996
55050,193.27254724077082
55051,303.3901243532292
55052,349.4566468747459
55053,256.9217358750791
55054,383.33748096973045
55055,256.9483387502308
55056,276.8763147789617
55057,201.56776153018097
55058,353.2405926984275
55059,288.3142519520583
55060,171.10992345198716
55061,187.69295591136262
55062,222.02422406764222
55063,327.1231449788266
55064,374.5511308546595
55065,218.42554867424911
55066,206.14647674410057
55067,210.44789262051563
55068,236.98984951914218
55069,317.7972934500765
55070,209.43076749144484
55071,270.04242535330593
55072,308.7533771028444
55073,179.0613808883681
55074,261.175279245135
55075,174.97361120635463
55076,386.24164741029915
55077,178.45716263809783
55078,170.1862780545686
55079,352.24973641798783
55080,146.33777738570663
55081,336.1273448289795
55082,307.52552434388303
55083,230.20091198501103
55084,222.84471366126593
55085,382.0042148017185
55086,221.13651634445503
55087,260.96525520069497
55088,175.43617242051573
55089,251.23427983364394
55090,244.0170600050759
55091,342.76629454457486
55092,283.34498616375663
55093,312.3298606685081
55094,167.2374673063564
55095,227.1250263898878
55096,256.47203375838865
55097,293.12726674713747
55098,245.09853960446296
55099,232.64842814617447
55100,235.65795117131563
55101,223.8717617107547
55102,227.14808474811758
55103,309.9761213278098
55104,198.86635881936172
55105,274.33153834875634
55106,228.27636027098853
55107,301.3177166751866
55108,207.8118642645555
55109,315.5854635050731
55110,275.26283096376227
55111,309.995556677981
55112,330.7095980097717
55113,245.78327341611381
55114,300.2091889652395
55115,198.40441916488416
55116,180.43211716649807
55117,192.3962555396434
55118,301.81198198912807
55119,327.12645816136205
55120,418.8994800281464
55121,369.6463713116533
55122,171.09245412615286
55123,147.89818555862672
55124,218.85215319589645
55125,211.20849127870042
55126,177.53371440259127
55127,245.6471254024492
55128,112.71192843533328
55129,222.79184899826907
55130,253.85032163306977
55131,213.99767310456514
55132,282.746011804801
55133,171.0251219027537
55134,241.5572603185895
55135,155.76504850160475
55136,402.80949230673446
55137,222.26670692782704
55138,286.0603675316743
55139,208.2894671649309
55140,183.95608282769928
55141,192.6061053012865
55142,139.4679180693143
55143,176.4294770731005
55144,232.9193501471113
55145,389.5854359778239
55146,210.67544671256832
55147,190.82958409719026
55148,246.26234161160608
55149,172.6353360974815
55150,196.57995741113993
55151,175.81395051944233
55152,138.845780543256
55153,224.52278446362862
55154,200.14660947982753
55155,374.32318326645435
55156,213.86481940945816
55157,174.3012398003152
55158,248.1368078584711
55159,247.9041548198755
55160,250.8177352050214
55161,256.0875599454033
55162,382.7434797368596
55163,123.53418015127733
55164,227.99863682797147
55165,212.03607036873888
55166,168.40129986781915
55167,350.6022758847297
55168,298.29484309590214
55169,247.31114916934274
55170,217.33318788410224
55171,230.32918097524038
55172,320.9021406579395
55173,315.5020868837504
55174,252.31637185145058
55175,266.74012287520577
55176,402.1291729375215
55177,140.79571684836637
55178,170.20194182107986
55179,189.9025798259976
55180,236.6475175129329
55181,349.90128814966454
55182,273.44338164022656
55183,253.75344275994013
55184,285.12051054579587
55185,316.1245475687184
55186,362.3686889530384
55187,144.97119247404584
55188,275.5391636822369
55189,214.40369598059686
55190,163.73024862232722
55191,253.06608220986078
55192,343.7729141231416
55193,299.23963940655335
55194,176.65447100771266
55195,188.99079186592155
55196,164.98862593827806
55197,302.5524592304721
55198,333.4036059049699
55199,214.50728138986221
55200,235.13800958606896
55201,337.4119996159477
55202,167.10022813479821
55203,150.5992455573928
55204,189.31067538321548
55205,179.01626430448988
55206,213.36000726971395
55207,212.50629200553607
55208,313.6061279009982
55209,221.8067861379968
55210,216.60631793595095
55211,318.7482832754015
55212,175.2107689012328
55213,301.8582116960795
55214,207.53331809417313
55215,169.37085137460326
55216,321.1826594408226
55217,174.6163725390054
55218,277.27114739735214
55219,226.1432930299747
55220,221.24131578525714
55221,187.47989166182145
55222,208.9297830277721
55223,313.746189126286
55224,235.35789960187034
55225,223.58534778437235
55226,347.60875868581604
55227,223.6137331534315
55228,239.1904937955634
55229,327.36422913494164
55230,173.90277607271292
55231,219.59822425606168
55232,193.4447411415211
55233,318.66038819691914
55234,213.2615083266111
55235,176.6177101299903
55236,270.8820161668401
55237,206.7508987346695
55238,372.49433778165223
55239,201.28129985596905
55240,216.92311685398957
55241,281.8455767617044
55242,208.27562972271176
55243,323.0856391854794
55244,190.5508008993341
55245,201.87795298369622
55246,252.55793406698547
55247,316.2989103085109
55248,205.97281013656112
55249,170.31470246611755
55250,256.89479901683995
55251,394.61835241282694
55252,277.8540918809673
55253,167.211921841305
55254,274.87173642617427
55255,410.10003327545746
55256,307.8981731297987
55257,204.03085793668228
55258,166.08321536043672
55259,169.85706111728751
55260,249.53680024911773
55261,334.9877160318697
55262,205.28345112427485
55263,220.43463944971467
55264,173.18331531899827
55265,299.6112687220308
55266,365.8200897943609
55267,188.08435022368275
55268,295.1023271662252
55269,382.6307222250637
55270,232.25536889757984
55271,415.3629630343238
55272,307.1694881112176
55273,282.18339209107774
55274,391.6225339330057
55275,224.1133664252518
55276,222.40853633848621
55277,330.57014977400377
55278,247.7225791903743
55279,212.31021967765474
55280,300.25151371313245
55281,164.19489700403193
55282,329.2873349615828
55283,323.8834604610304
55284,333.9260762012997
55285,227.31431316376754
55286,258.9418688546209
55287,194.8770361589055
55288,310.38305267294186
55289,152.0081965709677
55290,222.62449586845247
55291,207.4806441427042
55292,259.568641823889
55293,301.77388658008135
55294,289.22427834281757
55295,213.46578071324953
55296,372.70226229522507
55297,282.8726947220416
55298,202.79540616027032
55299,176.2736631738261
55300,185.39892574596234
55301,245.41737595731325
55302,336.9824048030792
55303,260.6295719033274
55304,250.3646949219335
55305,328.0040667669142
55306,229.250092569449
55307,408.9251540604291
55308,168.1567888701111
55309,202.16277773838362
55310,285.335173985913
55311,272.42362170449155
55312,192.10364501037157
55313,289.34045152978433
55314,174.4580282640233
55315,198.0126310006262
55316,207.02192539118533
55317,251.58537445472194
55318,128.7073288846737
55319,401.0046703375058
55320,279.7348293458919
55321,195.8379143797905
55322,375.60339248368007
55323,215.60605975747927
55324,183.89655606312306
55325,409.48312645246915
55326,383.86078946748034
55327,169.19081919206286
55328,331.984926512597
55329,332.2093899950022
55330,223.4322380650835
55331,205.85650533666137
55332,214.48478990689387
55333,223.15916589957237
55334,402.75862378380566
55335,314.6655782866686
55336,233.38135617498767
55337,168.07939727779967
55338,256.88011970604765
55339,230.6732841524692
55340,234.69783293332534
55341,388.17755130915674
55342,180.64474431062104
55343,284.6378437721989
55344,193.59006466334228
55345,171.91106330981242
55346,218.11015688975198
55347,296.74544556286156
55348,193.32915541894627
55349,312.83147452674865
55350,339.41376208806406
55351,220.43051332123153
55352,169.60563722305545
55353,186.06702902102205
55354,315.8691351458713
55355,277.1218466286527
55356,240.31647924178537
55357,164.30633855426214
55358,239.2912531718904
55359,249.6411232890801
55360,250.16007345155958
55361,375.76132493064085
55362,335.94696404857115
55363,334.0160023011168
55364,329.2773546669325
55365,215.6116369642887
55366,323.11463408883094
55367,376.885780640205
55368,217.96114869843092
55369,242.61738462113038
55370,365.2314063538598
55371,171.60318351496846
55372,291.8120747801349
55373,262.71103637407805
55374,299.2892389492283
55375,294.39937482972147
55376,256.1221243479583
55377,217.87395462033106
55378,242.55255370281174
55379,176.43010060760201
55380,216.68527592437877
55381,202.74292777872932
55382,207.30062877035147
55383,278.5194848937631
55384,256.90466525757483
55385,241.17178366472032
55386,221.25816479729258
55387,251.4213144856932
55388,260.8265037961239
55389,233.00801355878588
55390,228.5493100799779
55391,242.38319818833452
55392,224.63902073885012
55393,358.7341906493464
55394,184.04161435934964
55395,194.88296670531355
55396,179.0854001349812
55397,230.99462588183192
55398,209.05107009376877
55399,196.6596853170052
55400,190.80663494436374
55401,322.3877544404302
55402,215.3438245531085
55403,277.48107818046594
55404,333.4160216575648
55405,259.9429812640476
55406,326.8750471304419
55407,345.7153405274113
55408,221.28644103452316
55409,378.44946100521634
55410,278.85583498700123
55411,222.10043255984144
55412,161.2965811050039
55413,279.6087765268003
55414,168.65877742888847
55415,262.74311180925406
55416,224.98553064157076
55417,186.10660547022542
55418,224.22300224153992
55419,253.8364964609109
55420,227.806246189553
55421,231.06875733292168
55422,160.44686261179538
55423,264.47577502783037
55424,250.13710745316905
55425,160.8871127170612
55426,331.2820869063733
55427,217.32641212320019
55428,188.6329150074585
55429,333.27930555252595
55430,221.35614503066427
55431,234.03915464308278
55432,322.4150992460578
55433,402.8188738019373
55434,200.36685741414937
55435,194.68032155213743
55436,276.8017749110567
55437,190.17635321568517
55438,187.2028444707392
55439,320.148817284953
55440,396.3827225529446
55441,182.25077536250154
55442,234.7306713058143
55443,240.09815019704948
55444,227.80032755310862
55445,236.60845013499033
55446,249.10886603344744
55447,351.8271905462903
55448,229.06288905858463
55449,336.58396180847757
55450,295.06355512203936
55451,253.20707011391193
55452,402.5260410694568
55453,191.5725682095266
55454,247.42757346672283
55455,189.78238960595982
55456,268.32125955663196
55457,332.91065000594415
55458,310.7622968970875
55459,182.79218627584314
55460,317.64018920977895
55461,203.86171074878268
55462,221.41849794878055
55463,210.74339844628167
55464,372.30163995827036
55465,200.19457665670916
55466,194.84141990503306
55467,208.14744061053128
55468,197.56323745063975
55469,217.7138396396501
55470,249.54117104394317
55471,298.79139743032806
55472,270.60066305110433
55473,187.60374939421496
55474,315.1988191030781
55475,295.90401186241183
55476,293.4982387020111
55477,132.6699785806081
55478,259.8857991621494
55479,205.2389254506976
55480,119.23774605722707
55481,277.6341225840206
55482,314.889177238044
55483,231.20049985054368
55484,208.49072249244045
55485,206.3252642584339
55486,301.6835189575245
55487,393.0044452851055
55488,247.74030119551753
55489,188.96346902267737
55490,240.3527958553363
55491,216.33492798630243
55492,230.40373998716723
55493,317.57191527140037
55494,353.2402451762697
55495,213.0130777202042
55496,338.78608958050756
55497,278.54624283189736
55498,292.7109348423736
55499,219.46477431418555
55500,387.30581676698466
55501,242.2907217406268
55502,177.48053408203504
55503,189.2863563898212
55504,324.2574561322984
55505,256.77850054610917
55506,128.65561341645986
55507,252.0158453964621
55508,313.3539784463687
55509,317.0230068699286
55510,225.2049333894589
55511,205.63339369220571
55512,285.6655336087579
55513,149.67487160533358
55514,235.53111102497417
55515,148.94808586567262
55516,244.47417468747253
55517,166.6662057983279
55518,146.78511857259298
55519,223.87885986518504
55520,188.93076298120323
55521,392.63055851278375
55522,168.24602673723894
55523,281.39349560833443
55524,206.06446616697545
55525,220.459030877609
55526,225.57191575330492
55527,372.18710409104983
55528,190.65739548166346
55529,383.0605095950016
55530,126.40489754420875
55531,218.4940484901228
55532,176.49970901208258
55533,252.69327549065758
55534,273.5242261034484
55535,281.2321398348198
55536,328.0624205414573
55537,228.00611050555457
55538,190.1493394325541
55539,345.2971405596451
55540,192.12279438486257
55541,144.38343283209034
55542,250.4842120424842
55543,223.2915602315236
55544,141.06757675867485
55545,212.02375495978612
55546,341.8191018587959
55547,130.5735255488911
55548,177.56840732682298
55549,214.64131912487863
55550,330.9514148307835
55551,310.0907781361893
55552,169.82517907628926
55553,373.9223512508663
55554,256.0732352730205
55555,180.30173460513606
55556,315.74016532062893
55557,210.25771567154374
55558,272.8238851470632
55559,183.93033571063197
55560,229.87098662419206
55561,251.6605265826444
55562,288.91698592653825
55563,208.09542427656987
55564,246.95090169728104
55565,266.8732679563843
55566,180.5043715679895
55567,196.16550089862267
55568,184.98298603832438
55569,313.71409492857435
55570,233.83898606441107
55571,191.76053882456586
55572,222.03084999650764
55573,230.2819291708717
55574,270.994028143788
55575,256.2362241745214
55576,194.1377020384636
55577,229.73093791172693
55578,215.67510964928414
55579,219.86913591126472
55580,233.25203475169656
55581,224.45154834647826
55582,188.71818382177796
55583,308.1642950514367
55584,366.5109075981096
55585,317.4715276417686
55586,394.51108376758646
55587,175.6678856427614
55588,207.68107762476484
55589,260.4729705017569
55590,220.0782754410754
55591,303.67621286628037
55592,279.90913839215773
55593,269.7023272004732
55594,251.9345528033548
55595,189.6586491769645
55596,341.73740042560496
55597,423.33592875831454
55598,313.55824544618156
55599,226.14230175220092
55600,210.6907159519196
55601,229.3596275748574
55602,404.149066508897
55603,141.20338551590916
55604,194.44183475237008
55605,170.2758603993628
55606,408.7544367579112
55607,319.1518383528152
55608,211.4750859724806
55609,224.94795603665295
55610,358.20924298849866
55611,205.033920352187
55612,313.8862411678699
55613,165.60159796170237
55614,219.6941407710811
55615,226.78520843968315
55616,186.82068195817425
55617,168.22849443608493
55618,164.176098444273
55619,167.5352008313919
55620,233.27707446342447
55621,269.57269134861906
55622,256.9846540472648
55623,206.47476579009293
55624,295.3478608977678
55625,251.18838379671223
55626,304.82693708519673
55627,220.2009361074832
55628,212.89010842438984
55629,249.83113428274436
55630,231.12886643906768
55631,283.86581390440745
55632,303.77595046772853
55633,206.55559204222507
55634,231.84412086132647
55635,189.2775471165275
55636,237.8994450857127
55637,335.58690403816695
55638,273.4463113060093
55639,227.8244021582553
55640,214.18517078190257
55641,176.49820332654355
55642,220.41556290039355
55643,181.34997719620333
55644,274.9868755722605
55645,178.6183390880696
55646,195.55541716374276
55647,265.27646931126446
55648,245.33128632944084
55649,262.616610563385
55650,176.63561578456228
55651,262.0553568924275
55652,195.948111107346
55653,182.98165368622375
55654,278.0023869917211
55655,342.4202127154214
55656,392.7106533497981
55657,246.91690307982725
55658,170.4271963707293
55659,261.97323782871166
55660,175.03279696434356
55661,242.29296615757198
55662,395.269047079866
55663,198.8389627246695
55664,258.02092778473036
55665,234.08673975032235
55666,338.44580486183514
55667,143.28019697865537
55668,280.74742859906166
55669,240.04339784481874
55670,172.29513501119726
55671,205.07070655259676
55672,285.51431307956966
55673,197.07262372776393
55674,125.98660768783589
55675,379.3073485695718
55676,167.9490949717021
55677,185.06919714238853
55678,198.59619672197593
55679,368.66187910329586
55680,241.43662690741888
55681,315.26956616671885
55682,224.28062044968
55683,251.01241242416825
55684,229.54331250313018
55685,346.3676822417681
55686,259.8451821927768
55687,204.47643331073294
55688,172.6392564334172
55689,191.59725314358934
55690,337.1419321844915
55691,256.04044004853944
55692,298.4381558306471
55693,231.3356362835684
